provider,game_name,Game Tag,Game Sub Type,sub_category,casinoGameId,game_id,description,logo_round,logo_square,banner
Qtech,Temple of Paw,RNG,Slot,5 Reels,QS-templeofpaw,5219,-,,,
Qtech,Crystal Queen’s Coins,RNG,Slot,5 Reels,QS-crystalqueenscoins,5220,-,,,
Qtech,Epic Fish: Net of Fortune,RNG,Slot,5 Reels,QS-epicfishnetoffortune,5221,-,,,
Qtech,Pearl o' Plinko - Mermaid Cove,RNG,Slot,Instant Win,QS-pearloplinkomermaidcove,5222,-,,,
Qtech,Scepter of Anubis,RNG,Slot,5 Reels,QS-scepterofanubis,5223,-,,,
Marbles,Live Duck Racing,LIVE,Live,Turbo,e47714d3-2cb3-409c-acdd-56b22dad9f51,5224,0,,,
Ezugi,EZ Dealer Roulette Hindi,LIVE,Live Table,Roulette,481008,5225,0,,,
Ncasino,Aviator,RNG,Slot,Slot,avt_aviator,5226,0,,,
Ncasino,NFT Aviatrix,RNG,Slot,Slot,avx_nft_aviatrix,5227,0,,,
Ncasino,Alice In Lollyland,RNG,Slot,Slot,brg_alice_in_lollyland,5228,0,,,
Ncasino,Dogfighters Their Finest Hour TopHit,RNG,Slot,Slot,brg_dog_fighters_their_finest_hour_tophit,5229,0,,,
Ncasino,Lady Merlin Lightning Chase,RNG,Slot,Slot,brg_lady_merlin_lightning_chase,5230,0,,,
Ncasino,Return of the Valkyrie,RNG,Slot,Slot,brg_rise_of_the_valkyrie,5231,0,,,
Ncasino,Wild Storm Legionnaire Lightning Chase,RNG,Slot,Slot,brg_wild_storm_legionnaire_lightning_chase,5232,0,,,
Ncasino,Year of Olympia,RNG,Slot,Slot,brg_year_of_olympia,5233,0,,,
Ncasino,15 Dragon Pearls: Hold and Win,RNG,Slot,Slot,bng_15_dragon_pearls_hold_and_win,5234,0,,,
Ncasino,3 Aztec Temples,RNG,Slot,Slot,bng_3_aztec_temples,5235,0,,,
Ncasino,3 China Pots,RNG,Slot,Slot,bng_3_china_pots,5236,0,,,
Ncasino,3 Clover Pots,RNG,Slot,Slot,bng_3_clover_pots,5237,0,,,
Ncasino,3 Coin Volcanoes,RNG,Slot,Slot,bng_3_coin_volcanoes,5238,0,,,
Ncasino,3 Coins,RNG,Slot,Slot,bng_3_coins,5239,0,,,
